task,fast_model,reason_model,best_objective,best_record_id,best_record_model,best_record_source,optimal_objective,responses_required,overall_hit_rate,fast_responses,fast_avg_latency,fast_hit_rate,fast_avg_improvement_pct,fast_avg_search_area,reason_responses,reason_avg_latency,reason_hit_rate,reason_avg_improvement_pct,reason_avg_search_area
dsj1000,GPT4-fast,GPT4-reason,18668034.0,5,GPT4-fast,llm_records/GPT4-fast/data/5.json,18660188.0,7,0.42857142857142855,5,3.0697430610656737,0.6,0.04217892481397651,0.2211209452271303,2,7.546245098114014,0.0,,0.08002277850376882
d1291,GPT4-fast,GPT4-reason,50825.0,29,GPT4-reason,llm_records/GPT4-reason/data/29.json,50801.0,37,0.1891891891891892,28,2.8874602828707014,0.14285714285714285,0.08956516604003857,0.2775766106313182,9,18.99100767241584,0.42857142857142855,0.06889628156926045,0.25996778863229697
fl1577,GPT4-fast,GPT4-reason,22249.0,43,GPT4-reason,llm_records/GPT4-reason/data/43.json,22249.0,14,0.2857142857142857,10,2.9619210720062257,0.2,0.1078700166299609,0.1531587868296729,4,12.546278059482574,0.6666666666666666,0.017978336104993484,0.14018185934500985
d2103,GPT4-fast,GPT4-reason,80525.0,317,GPT4-fast,llm_records/GPT4-fast/data/317.json,80450.0,98,0.10204081632653061,76,2.634167382591649,0.0958904109589041,0.0424398472875788,0.28138028876638377,22,15.409245339306919,0.13636363636363635,0.049305987155583174,0.3299271495816449
rl5934,GPT4-fast,GPT4-reason,558628.0,726,GPT4-fast,llm_records/GPT4-fast/data/726.json,556045.0,424,0.11556603773584906,309,2.705013317583448,0.1282051282051282,0.023298474044366916,0.15416900439682252,115,12.741499865573385,0.0782608695652174,0.017764349607995354,0.16790588215561913
pla7397,GPT4-fast,GPT4-reason,23320778.0,734,GPT4-reason,llm_records/GPT4-reason/data/734.json,23260728.0,325,0.11076923076923077,198,8.631370649193272,0.10606060606060606,0.013901829154558992,0.20002894520179584,127,16.670066619482565,0.14285714285714285,0.0187689740407093,0.3455207076004877
brd14051,GPT4-fast,GPT4-reason,470152.0,887,GPT4-reason,llm_records/GPT4-reason/data/887.json,469385.0,300,0.20666666666666667,178,7.875830113218072,0.16853932584269662,0.02139679225653426,0.1478819183004427,122,16.593003372677035,0.25,0.014680113339795691,0.19361326346522736
d15112,GPT4-fast,GPT4-reason,1580245.0,1302,GPT4-fast,llm_records/GPT4-fast/data/1302.json,1573084.0,463,0.16630669546436286,361,2.671239025374859,0.1834862385321101,0.01015971782323055,0.101986622619891,102,10.117685881315493,0.09803921568627451,0.00835937559596309,0.11376218185319932
dsj1000,GPT5-fast,GPT5-reason,18668034.0,5,GPT5-fast,llm_records/GPT5-fast/data/5.json,18660188.0,9,0.3333333333333333,5,3.0721593856811524,0.6,0.04217892481397651,0.1470763480776165,4,3.2606104612350464,0.0,,0.1405809893547296
d1291,GPT5-fast,GPT5-reason,50914.0,106,GPT5-fast,llm_records/GPT5-fast/data/106.json,50801.0,21,0.23809523809523808,11,2.190238844264637,0.2857142857142857,0.043962389191813805,0.395380788459885,10,3.359725284576416,0.2,0.1289344697939017,0.27568545438047054
fl1577,GPT5-fast,GPT5-reason,22249.0,163,GPT5-reason,llm_records/GPT5-reason/data/163.json,22249.0,6,0.5,3,2.4119745890299478,0.3333333333333333,0.2157400332599218,0.3676455856483986,3,3.478663682937622,0.5,0.017978336104993484,0.2593053401773514
d2103,GPT5-fast,GPT5-reason,80555.0,275,GPT5-fast,llm_records/GPT5-fast/data/275.json,80450.0,20,0.15,10,2.4665841102600097,0.2,0.19763828464885022,0.4338710232705548,10,3.3519364833831786,0.2,0.05096333126165321,0.1989508528760903
rl5934,GPT5-fast,GPT5-reason,556323.0,292,GPT5-fast,llm_records/GPT5-fast/data/292.json,556045.0,484,0.1115702479338843,253,3.2790938790136646,0.25,0.04066417486194662,0.2844294857428807,231,4.407476781250595,0.19480519480519481,0.025341673985219023,0.26025477225642657
pla7397,GPT5-fast,GPT5-reason,23320772.0,652,GPT5-fast,llm_records/GPT5-fast/data/652.json,23260728.0,489,0.05930470347648262,255,2.909115713717891,0.0728476821192053,0.016672354842510135,0.295843304829077,234,3.6621078110148764,0.04700854700854701,0.024854220930973125,0.34285574028708765
brd14051,GPT5-fast,GPT5-reason,472539.0,393,GPT5-fast,llm_records/GPT5-fast/data/393.json,469385.0,632,0.10284810126582279,357,2.085130640104705,0.07079646017699115,0.007904694073279307,0.12807862995271801,275,2.6923282111774793,0.13090909090909092,0.007776132599039168,0.18381725385962647
d15112,GPT5-fast,GPT5-reason,1584675.0,644,GPT5-reason,llm_records/GPT5-reason/data/644.json,1573084.0,690,0.08985507246376812,355,2.1829221638155656,0.0647887323943662,0.005887078862423997,0.0867342521283052,335,2.31959679518173,0.11398963730569948,0.008904605416934065,0.07947923569168681
d2103,Qwen3-fast,Qwen3-reason,80810.0,108,Qwen3-fast,llm_records/Qwen3-fast/data/108.json,80450.0,164,0.024390243902439025,82,31.13737243268548,0.027777777777777776,0.028589185829707896,0.20244703883653145,82,30.94305048337797,0.036585365853658534,0.020716801325875285,0.2261796048012727
fl1577,Qwen3-fast,Qwen3-reason,22251.0,17,Qwen3-fast,llm_records/Qwen3-fast/data/17.json,22249.0,33,0.18181818181818182,17,31.82525640375474,0.25,0.04494584026248371,0.2171333261206679,16,32.547706604003906,0.25,0.038203964223111155,0.1778576088702671
rl5934,Qwen3-fast,Qwen3-reason,562410.0,268,Qwen3-reason,llm_records/Qwen3-reason/data/268.json,556045.0,224,0.044642857142857144,112,33.99430958713804,0.03571428571428571,0.01937792804539201,0.10452222502100282,112,34.032322072557044,0.057692307692307696,0.0556909362851328,0.10463421053892813
rl5934,Qwen3-sft-fast,Qwen3-sft-reason,560544.0,83,Qwen3-sft-fast,llm_records/Qwen3-sft-fast/data/83.json,556045.0,148,0.14864864864864866,77,34.982232474661494,0.18181818181818182,0.027718080371192978,0.16835364741202166,71,34.47303922411422,0.19718309859154928,0.03753550265073613,0.20116221199653386
